หมวด,รหัสสินค้า,เมนู/สาขา,HB01-ลาดพร้าว107,HB02-สามย่าน,HB03-นวมินทร์111,HB04-สะพานควาย,หมายเหตุ
,HBR04M21C/HBR04M23C,Kirei Yuzu Matcha,,1,1,1,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR04M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR04M21C"
,HBR05M21C//HBR05M23C,Kori Osmanthus Matcha,1,,,,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR05M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR05M21C"
,HBR06M21C/HBR06M23C,Clear Matcha Coconut Jasmine Tea,,4,4,15,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR06M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR06M21C"
,HBR07M21C/HBR07M23C,Clear Matcha Coconut,0,13,64,16,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR07M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR07M21C"
,HBR08H03C,Clear Hojicha,,,,1,
,HBR09M21C/HBR09M23C,Clear Matcha Chrysanthemum,,,,,"สาขาลาดพร้าว107,สาขาสะพานควาย =HBR09M23C/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBR09M21C"
"Matcha  Milk & Rich เมนูนมครีมมี่







",HBM09M19L/HBM09M29L/HBM09M23L,Hibi Cold Whisk Latte,4,,4,2,"สาขาลาดพร้าว107=HBM09M19L/สาขาสะพานควาย =HBM09M23L/ สาขาสามย่าน,สาขานวมินทร์111,สาขานาคนิวาส48 =HBM09M29L"
,HBM01M18L,Matcha Latte (Milk Whisk),26,25,97,35,
,HBM02M18L,Matcha Latte Milk Mochi,2,1,2,5,
,HBM03M18L,Osmanthus Matcha Latte,1,1,3,,
,HBM04M18L,Matcha Mango Latte,,,,1,
,HBM05M18L,Matcha Strawberry Latte,,4,3,7,
,HBM06M18L,Matcha Milk Mochi Taro Latte,,2,1,2,
,HBM07M18L,Matcha Milk Mochi Red Bean Latte,,,,,
,HBM08H03L,Hojicha Latte (Milk Whisk),,1,,6,
"Fixed Recipe Menu เปลี่ยนนมไม่ได้




",HBF01,Coconut on Cloud,11,15,3,5,
,HBF02M18L,Coconut Milk Whisk Latte,2,,5,,
,HBF03,Matcha Cloud Latte,,,1,5,
,HBF04,Matcha Cheesecake Cloud,,,,,
,HBF05M18L,Matcha Cream Cheese Latte,3,2,3,9,
,HBF06M18L,Jasmine Thai Tea x Matcha Latte,1,2,2,7,
"Hibi Crafted Matcha (Signature) สูตรพิเศษของฮิบิ








",HBS02M15L,Matcha Velvet Whisk Latte Cold Foam,3,4,13,7,
,HBS03M29L,Matcha Creamcheese Mochi Skewer,,1,,,
,HBS04H02L,Kokoro Hojicha Honey Comb Velvet,,2,2,,
,HBS05H02L,Kokoro Hojicha Cheesecake Mochi,,,,,
,HBS06,Matcha Mango Pandan Cloud,,,,,
,HBS07M29,Pandan Coconut Matcha Velvet,,,,,
,HBS08M29,Pistachio Kunafa Matcha Luxe,,,,,
,HBS09M29,Matcha Tiramisu Lady,,,,,
"Non Matcha เมนูปราศจากมัทฉะ










",HBN01,Honey Lime Soda,1,1,1,1,
,HBN02,Orange Yuzu Soda,,,,2,
,HBN03,Osmanthus Honey Coconut,,1,,,
,HBN04T01,Jasmine Thai Tea,10,6,8,13,
,HBN05T01,Jasmine Thai Tea Mochi,,2,3,,
,HBN06T01,Jasmine Taro Milk Tea Mochi,,,3,,
,HBN07,Honey Lemon Soda,,1,,3,
,HBN08,Aged Honey Lime & Plum ,,,,3,
,HBN09,Ichigo Ume Refresher,,2,,,
"Topping เพิ่มความอร่อยของเมนูคุณ









",HBT01,Topping Matcha Cloud,1,,1,1,
,HBT02,Topping Cream Cheese,2,1,3,,
,HBT03,Topping Milk Mochi,,2,,,
,HBT04,Topping Matcha Cheesecake Cloud,,,,,
,HBT05,Topping Crispy Coco,,1,3,2,
,HBT06,Topping Caramel Comb Toffee Crispy,,,1,,
,HBT07,Topping Taro Puree,,,3,,
,HBT08,Topping Red Bean Puree,1,,,,
,HBT09,Topping Mango Puree ,,,,,
,HBT10,Topping Fresh Strawberry Honey,,,1,,
,HBT11,Topping Velvet Milk Foam,,,1,,
"Fusion Dessert ขนมหวานฟิวชัน





















",HBD01,Truffle Noir Basque,,,,,
,HBD02,Basque Matcha Azuki Mochi,,,,,
,HBD03,Shiro Tofu Cheesecake,,,,,
,HBD04A,Black Truffle Financier,2,1,1,2,
,HBD04B,Citrus Noisette Financier,3,3,3,3,
,HBD04C,Matcha Yuzu Financier,,,,,
,HBD04D,Matcha Noisette Financier,,2,4,4,
,HBD04E,Noisette Financier,2,7,9,4,
,HBD06M,Tiramisu Matcha (Homemade),20,19,25,38,
,HBD06C,Classic Tiramisu  (Homemade),,,,,
,HBD11,Mochi Butter Bun,27,35,46,47,
,HBD11P,Mochi Butter Bun แพ็ค 5 ชิ้น,,1,,,
,HBD11M,Matcha Mochi Butter Bun,,,,,
,HBD12M,Matcha Mochi Kinako Caramel,5,4,10,3,
,HBD13M,Premium Matcha Banana Cheesecake,,,,,
,HBD13,Premium Banana Cheesecake,11,8,14,10,
,HBD14A,Milk Caramel Custard Mochi,,,3,,
,HBD14B,Peach Caramel Custard Mochi,,2,,4,
"Pink is Fine
",HBPC05M21C,Clear Matcha Pink Coconut,,3,1,,
,HBPC06C21C,Pink Coconut Cloud,,,,,
Option ที่มีตัดของ ,HBM01M18L,Matcha Latte (Milk Whisk) + Cool Pack (แยกน้ำแข็ง),27,32,21,35,Matcha Latte (Milk Whisk) เพิ่มออปชั่น Cool Pack (แยกน้ำแข็ง)
,HBR01M21C/HBR01M23C,Clear Matcha + Cool Pack (แยกน้ำแข็ง),3,7,,6,Clear Matcha  เพิ่มออปชั่น Cool Pack (แยกน้ำแข็ง)
,HBR07M21C/HBR07M23C,Clear Matcha Coconut + Cool Pack (แยกน้ำแข็ง),26,25,20,35,Clear Matcha Coconut เพิ่มออปชั่น Cool Pack (แยกน้ำแข็ง)
